Id,Address1,Address2,Area,Country,City,State,Region,Pincode
20919,MOH.THARWARANGANJ                       ,"PASHA COMPLEX,OPP.BANK OF BARODA        ",,,LAKHIMPUR                ,,,262701
14315,,Mahabir Tola Arrah -,,,Arrah,,,802301
14316,,,,,Kottayam,,,
5954,"100 Narmada Market, Near Railway Godi",Bharuch,,India,Bharuch,Gujarat,Bharuch,392001
2837,"P.N.Palayam Coimbatore T.S. No. 10/608/1C, Ground Floor,","Jothi Nagar Jayasimmapuram,",,India,Coimbatore,Tamil Nadu,NA,641037
2838,"Main Road, Bank Of India,",Keonjhar,,India,Keonjhar,Odisha,NA,758035
5955,"8, Saakar Complex, Sanstha Vasahat","Raopura, Vadodara",,India,Vadodara,Gujarat,Vadodara,390001
2839,"3, Sant Singh Suri Market, Fountain, Agra",Agra,,India,Agra,Uttar Pradesh,NA,282003
330,"Room No. 8/246 (6), Punathil Tower Main Road","Kalpetta, Vaithiri (Wynad)",,India,Calicut,Kerala,NA,673121
2840,"Gate No. 3, Dhirubhai Ambani Lifescience Centre, R282, TTC Industrial Area, Thane-Belapur Road","Rabale, Navi Mumbai",,India,Thane,Maharashtra,NA,400701
7473,"Survey No.21/6-139/3-6,Patel Faliya","Wadi Wadi,Raopura,Vadodara",,India,,Gujarat,,390001
14319,N Road 24 Parganas (N) West,K K Super Market (1St Floor),R,,Bashirhat,,,743411
5956,"Patel Falia, Siyapura","Raopura, Vadodara",,India,Vadodara,Gujarat,Vadodara,390001
2841,Banshilal Chowk,Hazaribagh,,India,Hazaribagh,Jharkhand,NA,825301
7474,102 Arihant Plaza,"Subhash Road, Near Moti Thaki",,India,,Gujarat,,360001
14320,,,,,Deesa,,,
14321,Lane Calcutta West Bengal,No. - 13 Ramkali,Mukherjee,,Kolkata,,,700050
14322,,,,,Bhuj,,,
23307,,,,,Palanpur,Gujarat,,
20549,"GURUDWARA ROAD,1ST FLOOR                ",BENACHITY                               ,,,DURGAPUR                 ,,,713213
2843,Chand Khan Building,Jalori Bari,,India,Jodhpur,Rajasthan,NA,342001
14323,,,,,Thodupuzha Idukki,,,
5957,"55A Dr.Suresh Chandra Banerjee Road, Subhas Sarobar Park, Phool Bagan","Beleghata, Kolkata",,India,Kolkata,West Bengal,Kolkata,700010
14324,"No-3D/1-A, 1St Floor,","Annamalaipuram, Tennur, Trichy",,,Trichy,Tamil Nadu,,620017
5958,"5A, 6A, 7A&7B 1st Floor, Dawa Bazar","Gandhibagh, Nagpur",,India,Nagpur,Maharashtra,Nagpur,440002
14325,Shivarampet Mysore-570001,Pharmaceutical Distributors #1117/2A,First Floor N P D Complex,,Mysore,,,570001
14326,,Nalikul Station Bazar,Nalikul Haripal Hoogly,,Nalikul,,,712407
14327,,,,,Hyderabad,,,
14328,Tal - Nagpur Urban,B.L.No.26. 1St Flr Rajkamal Complex,Panchsheel Square Nagpur -,,Nagpur,,,440012
2844,"Nalikul Station Bazar, P.O.: Nalikul, Di",Hooghly (W.B.),,India,Hooghly,West Bengal,NA,712407
18444,"1466(D-31) 1ST MAIN,1ST CROSS           ","N.S.ROAD,DEVARAJ MOHALLA                ",,,MYSORE                   ,,,570001
18791,"MELAR MATH,QUARTER LANES                ",TRIPURA WEST                            ,,,AGARTALA                 ,,,799001
18584,"KMC 8/102,NEAR S.K.M.J HIGH SCHOOL      ","MAIN ROAD,KALPETTA                      ",,,WAYANAD                  ,,,       
5959,1 & 2 Shiyapura,"Raopura, Vadodara",,India,Vadodara,Gujarat,Vadodara,390001
2845,"Ga-1 Vardhaman City Plaza, Dawa Bazar","Hamidia Road, Bhopal",,India,Bhopal,Madhya Pradesh,Bhopal,462001
14329,,,,,Gulbarga,,,
14330,,Plot No.113 1St Floor,Opp.Mphs Super Market Gulbarga,,Gulbarga,,,585101
2846,Vadakkumbhagam Maruthamon Building,"M C No.Xvi/1701, 1670 A",,India,Kollam,Kerala,NA,691001
23308,,,,,Rewari,Haryana,,
5960,"87/1, Nainan Para Lane, Baranagar",Kolkata,,India,Kolkata,West Bengal,Kolkata,700036
19578,OPP OLD LAURELS SCHOOL                  ,GALI NO.2 REWA NAGAR COLONY             ,,,NARSINGHPUR              ,,,487001
2847,Near Bus Stand,Magam,,India,Magam,Jammu & Kashmir,NA,193401
2848,"12, Sion Nagar Society, Behrampur,",Ahmedabad,,India,Ahmedabad,Gujarat,NA,380022
5961,"D No. 18-4-797/13 1st Floor, Jangamet","Falaknuma, Hyderabad",,India,Hyderabad,Telangana,Hyderabad,500053
19568,"SHAKTI NAGAR, GUJAR TALL                ",NEAR TUBEWELL                           ,,,SHIVPURI                 ,,,473551
19928,C/O DR.SUDEEP KAUR RAIR(MBBS)           ,"NEAR SADH SANGAT GURUDWARA,GT ROAD      ",,,AMRITSAR                 ,,,       
5962,"Fatepur, Mahisali","Uluberia, Howrah",,India,Howrah,West Bengal,Howrah,711315
